Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
35,Audubon,Precinct 2,EXIRA EVENT CENTER,106 N JEFFERSON ST,EXIRA,50076,beGTOmDs,pVWmlyYj,0,0,0,0,0,0,0,0
36,Benton,Belle Plaine 1,"BELLE PLAINE HIGH SCHOOL, LEARNING CENTER",610 13TH AVE,BELLE PLAINE,52208,DFdiarF8,NCmbGjiX,0,0,0,0,0,0,0,0
37,Benton,Belle Plaine 2,"BELLE PLAINE HIGH SCHOOL, BAND ROOM",610 13TH AVE,BELLE PLAINE,52208,BdVV15FN,tK53atQr,0,0,0,0,0,0,0,0
38,Benton,Belle Plaine 3,"BELLE PLAINE HIGH SCHOOL, CAFETERIA",610 13TH AVE,BELLE PLAINE,52208,yR36ujOk,zzdBlXtU,0,0,0,0,0,0,0,0
39,Benton,Benton-Canton-Shellsburg,"SHELLSBURG ELEMENTARY SCHOOL, COMMONS",203 COTTAGE ST NW,SHELLSBURG,52332,ZKTSDOPT,pGWtmYAb,0,0,0,0,0,0,0,0
40,Benton,Big Grove-Union-Van Horne,"VAN HORNE COMMUNITY CENTER, COMMON ROOM",500 1ST AVE,VAN HORNE,52346,mqpQzWfu,eIClM2dH,0,0,0,0,0,0,0,0
41,Benton,Bruce-Cedar-Mt Auburn,MT AUBURN CITY HALL/FIRE STATION,203 2ND ST,MT AUBURN,52313,PA7B5rlO,9pbILPHI,0,0,0,0,0,0,0,0
42,Benton,Eden-Harrison-Taylor,"VINTON HIGH SCHOOL, BAND ROOM",210 W 21ST ST,VINTON,52349,d3f6ozML,8JNBjKbW,0,0,0,0,0,0,0,0
43,Benton,Eldorado-Newhall,MAIN PARK PAVILLION,206 3RD AVE,NEWHALL,52315,fF6Fvo97,FKSXZqxr,0,0,0,0,0,0,0,0
44,Benton,Florence-St Clair-Norway,"NORWAY ELEMENTARY SCHOOL, CAFETERIA",100 SCHOOL DR,NORWAY,52318,ypP1RUwx,FC16Tlme,0,0,0,0,0,0,0,0
45,Benton,Fremont-Atkins,"ATKINS ELEMENTARY SCHOOL, GYM",217 4TH AVE,ATKINS,52206,qjQG4aQr,xWJtIDob,0,0,0,0,0,0,0,0
46,Benton,Homer-Monroe-Jackson-Garrison,"GARRISON LIBRARY, COMMUNITY ROOM",201 E PINE ST,GARRISON,52229,80klGXQm,M3WPTAmK,0,0,0,0,0,0,0,0
47,Benton,Iowa-Leroy-Luzerne-Blairstown,BLAIRSTOWN COMMUNITY ROOM,305 LOCUST ST NW,BLAIRSTOWN,52209,8UMZm70X,5fvTZthf,0,0,0,0,0,0,0,0
48,Benton,Kane-Keystone,"KEYSTONE ELEMENTARY SCHOOL, LIBRARY",280 4TH ST,KEYSTONE,52249,NHAw7cYl,j1N05Q6z,0,0,0,0,0,0,0,0
49,Benton,Polk-Urbana,"URBANA SCHOOL (CENTER POINT-URBANA INTERMEDIATE SCHOOL), GYM",202 W MAIN ST,URBANA,52345,iXVh77PL,6qv9qBHF,0,0,0,0,0,0,0,0
50,Benton,Vinton 1,"VINTON HIGH SCHOOL, FCS ROOM",210 W 21ST ST,VINTON,52349,f9PboPLc,tdFonpTA,0,0,0,0,0,0,0,0
51,Benton,Vinton 2,"VINTON HIGH SCHOOL, CHOIR ROOM",210 W 21ST ST,VINTON,52349,yH0Ke6jK,1VpoAjPI,0,0,0,0,0,0,0,0
52,Benton,Vinton 3,"VINTON HIGH SCHOOL, COMMONS",210 W 21ST ST,VINTON,52349,vjft7bVi,czryFvk9,0,0,0,0,0,0,0,0
53,Benton,Vinton 4,"VINTON HIGH SCHOOL, LMC ROOM",210 W 21ST ST,VINTON,52349,yvU414Lo,TOFfFPO9,0,0,0,0,0,0,0,0
