Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
404,Des Moines,PCT 5,"BURLINGTON HIGH SCHOOL, CAFETERIA",421 TERRACE DR,BURLINGTON,52601,a5bXNLqn,7Z0tjUk1,0,0,0,0,0,0,0,0
405,Des Moines,PCT 6,"GRIMES ELEMENTARY SCHOOL, CAFETERIA",800 SOUTH ST,BURLINGTON,52601,HjFZauXy,BKs5rmR8,0,0,0,0,0,0,0,0
406,Des Moines,PCT 7,"BLACKHAWK ELEMENTARY SCHOOL, CAFETERIA",2804 S 14TH ST,BURLINGTON,52601,JzodO6gM,M15ps54K,0,0,0,0,0,0,0,0
407,Des Moines,PCT 8,"EDWARD STONE MIDDLE SCHOOL, CAFETERIA",3000 MASON RD,BURLINGTON,52601,d0363soq,RanF9I72,0,0,0,0,0,0,0,0
408,Des Moines,PCT 9,"JAMES MADISON SCHOOL, AUDITORIUM",2132 MADISON AVE,BURLINGTON,52601,WyBc8m36,ENymYFjO,0,0,0,0,0,0,0,0
409,Des Moines,PCT DM,"DANVILLE JUNIOR HIGH SCHOOL, GYM",419 S MAIN ST,DANVILLE,52623,HAyPaDIF,umGsbdwp,0,0,0,0,0,0,0,0
410,Des Moines,PCT FM,MACHINIST UNION HALL,16282 US 34,WEST BURLINGTON,52655,5j0Anums,A6aYs6RK,0,0,0,0,0,0,0,0
411,Des Moines,PCT HJ,"MEDIAPOLIS HIGH SCHOOL, LIBRARY",725 N NORTHFIELD ST,MEDIAPOLIS,52601,g0YN9u2T,NgNjiG4j,0,0,0,0,0,0,0,0
412,Des Moines,PCT MY,"MEDIAPOLIS HIGH SCHOOL, CAFETERIA",725 N NORTHFIELD ST,MEDIAPOLIS,52601,ex8UU4wQ,qKLuVYrQ,0,0,0,0,0,0,0,0
413,Des Moines,PCT PW,"YARMOUTH FIRE STATION, NORTH ROOM",20454 EASTERN AVE,YARMOUTH,No data,7JM5Qed4,wyTC7Y7r,0,0,0,0,0,0,0,0
414,Des Moines,PCT UNION,"EDWARD STONE MIDDLE SCHOOL, LIBRARY",3000 MASON RD,BURLINGTON,52601,Ppar7Cj0,yrGAvutS,0,0,0,0,0,0,0,0
415,Des Moines,PCT WB,"WEST BURLINGTON HIGH SCHOOL, AUDITORIUM",408 W VAN WEISS BLVD,WEST BURLINGTON,52655,eCMfNayO,e8GwOGqt,0,0,0,0,0,0,0,0
416,Dickinson,Precinct No. 01,DICKINSON COUNTY EXPO CENTER A,1600 15TH ST,SPIRIT LAKE,51360,osJr6WiO,CSwK9rad,0,0,0,0,0,0,0,0
417,Dickinson,Precinct No. 02,DICKINSON COUNTY EXPO CENTER B,1600 15TH ST,SPIRIT LAKE,51360,8Eijrmmo,0MtkqV1m,0,0,0,0,0,0,0,0
418,Dickinson,Precinct No. 03,DICKINSON COUNTY EXPO CENTER C,1600 15TH ST,SPIRIT LAKE,51360,NvrE8xEC,WyY8ObJq,0,0,0,0,0,0,0,0
419,Dickinson,Precinct No. 04,DICKINSON COUNTY EXPO CENTER D,1600 15TH ST,SPIRIT LAKE,51360,RcjLhSAO,yLpiNmvr,0,0,0,0,0,0,0,0
420,Dickinson,Precinct No. 05,MILFORD COMMUNITY CENTER A,806 N AVE,MILFORD,51351,CsEeRcVE,IDUBNHFb,0,0,0,0,0,0,0,0
421,Dickinson,Precinct No. 06,MILFORD COMMUNITY CENTER B,806 N AVE,MILFORD,51351,D02UAQ3m,P2283017,0,0,0,0,0,0,0,0
422,Dickinson,Precinct No. 07,MILFORD COMMUNITY CENTER C,806 N AVE,MILFORD,51351,NTSJRJEE,CCdMFzEw,0,0,0,0,0,0,0,0
423,Dickinson,Precinct No. 08,MILFORD COMMUNITY CENTER D,806 N AVE,MILFORD,51351,pj26rsd7,aLOzLZeR,0,0,0,0,0,0,0,0
424,Dickinson,Precinct No. 09,MILFORD COMMUNITY CENTER E,806 N AVE,MILFORD,51351,wx7TVAA5,dZpxUdwk,0,0,0,0,0,0,0,0
425,Dickinson,Precinct No. 10-City-Wahpeton-W Okoboji,MILFORD COMMUNITY CENTER F,806 N AVE,MILFORD,51351,NruKO8Mp,OUd7Un7D,0,0,0,0,0,0,0,0
426,Dickinson,Precinct No. 11,DICKINSON COUNTY EXPO CENTER E,1600 15TH ST,SPIRIT LAKE,51360,QLZ3c7xx,YOFncZPk,0,0,0,0,0,0,0,0
427,Dickinson,Precinct No. 12,DICKINSON COUNTY EXPO CENTER F,1600 15TH ST,SPIRIT LAKE,51360,4uhyhiNJ,hiY2W34s,0,0,0,0,0,0,0,0
428,Dickinson,Precinct No. 13,DICKINSON COUNTY EXPO CENTER G,1600 15TH ST,SPIRIT LAKE,51360,tc2xCNTr,qjoQ6RTN,0,0,0,0,0,0,0,0
429,Dickinson,Precinct No. 14,DICKINSON COUNTY EXPO CENTER H,1600 15TH ST,SPIRIT LAKE,51360,WnE5XB8B,MXzSO2Tw,0,0,0,0,0,0,0,0
430,Dickinson,Precinct No. 15,DICKINSON COUNTY EXPO CENTER I,1600 15TH ST,SPIRIT LAKE,51360,GASafbXb,2moMnfC3,0,0,0,0,0,0,0,0
431,Dubuque,Dubuque_01,"WASHINGTON MIDDLE SCHOOL, AUDITORIUM",51 N GRANDVIEW AVE,DUBUQUE,52001,wcTAc7de,AhPwx6hH,0,0,0,0,0,0,0,0
432,Dubuque,Dubuque_02,TRI-STATE BLIND SOCIETY,1068 CEDAR CROSS RD,DUBUQUE,52003,wFw3pw6y,7MmtkvX0,0,0,0,0,0,0,0,0
433,Dubuque,Dubuque_03,"ROOSEVELT MIDDLE SCHOOL, GYM, AUDITORIUM, CAFETERIA",2001 RADFORD RD,DUBUQUE,52002,fbvnZRoq,j1zMKXVC,0,0,0,0,0,0,0,0
434,Dubuque,Dubuque_04,"HEMPSTEAD HIGH SCHOOL, CAFETERIA, GYM, AUDITORIUM",3715 PENNSYLVANIA AVE,DUBUQUE,52202,BNJrGLUr,OztILZms,0,0,0,0,0,0,0,0
435,Dubuque,Dubuque_05,"KENNEDY ELEMENTARY, GYMNASIUM",2135 WOODLAND DR,DUBUQUE,52002,glwRN55R,0u5bMQ6X,0,0,0,0,0,0,0,0
436,Dubuque,Dubuque_06,"EISENHOWER ELEMENTARY, GYMNASIUM",3170 SPRING VALLEY RD,DUBUQUE,52001,ZHQiTja2,bAXUNqAP,0,0,0,0,0,0,0,0
437,Dubuque,Dubuque_07,"HOOVER ELEMENTARY, GYMNASIUM",3259 ST ANNE DR,DUBUQUE,52001,N1wwdbBL,G6eLO1aO,0,0,0,0,0,0,0,0
438,Dubuque,Dubuque_08,"KEYSTONE AEA, ROOMS 1A/B/C",2310 CHANEY RD,DUBUQUE,52001,3hJ02Axy,4VTYO0t1,0,0,0,0,0,0,0,0
439,Dubuque,Dubuque_09a,"LORAS COLLEGE, ALUMNI CENTER",LORAS BLVD/ COX ST,DUBUQUE,52001,u97B7qqX,k1Vmxi43,0,0,0,0,0,0,0,0
440,Dubuque,Dubuque_10,"IRVING ELEMENTARY, CAFETERIA & GYMNASIUM",2520 PENNSYLVANIA AVE,DUBUQUE,52001,dIYXuuac,LIVl9Dq2,0,0,0,0,0,0,0,0
441,Dubuque,Dubuque_11,"FULTON ELEMENTARY, GYMNASIUM",2540 CENTRAL AVE,DUBUQUE,52001,acc9RtVC,p1tb63A6,0,0,0,0,0,0,0,0
442,Dubuque,Dubuque_12,"UAW HALL, HALL AND BASEMENT",3450 CENTRAL AVE,DUBUQUE,52001,x7f7grCX,tn09SiC3,0,0,0,0,0,0,0,0
443,Dubuque,Dubuque_13,"WINDSOR PARK PLACE, COMMUNITY ROOM",801 DAVIS ST,DUBUQUE,52001,OPFcVUxf,Nec1P1nl,0,0,0,0,0,0,0,0
444,Dubuque,Dubuque_14,"AUDUBON ELEMENTARY SCHOOL, LIBRARY & GYM",605 LINCOLN AVE,DUBUQUE,52001,bAytYHxh,zCR2pFQV,0,0,0,0,0,0,0,0
445,Dubuque,Dubuque_15,"MARSHALL ELEMENTARY SCHOOL, GYM",1450 RHOMBERG AVE,DUBUQUE,52001,46pSECYe,b9OsY0EQ,0,0,0,0,0,0,0,0
446,Dubuque,Dubuque_16,"PRESCOTT ELEMENTARY SCHOOL, GYM",1151 WHITE ST,DUBUQUE,52001,lwj94rqi,elBAR0iq,0,0,0,0,0,0,0,0
447,Dubuque,Dubuque_17,"NICC DOWNTOWN CENTER, ROOM 106 A&B",700 MAIN ST,DUBUQUE,52001,DzScMf0C,YUV7KRv2,0,0,0,0,0,0,0,0
448,Dubuque,Dubuque_18,"DUBUQUE SENIOR HIGH SCHOOL, CAFETERIA, GYM, LIBRARY",1800 CLARKE DR,DUBUQUE,52001,h7tfPtg6,owGS74Li,0,0,0,0,0,0,0,0
449,Dubuque,Dubuque_19,"WASHINGTON MIDDLE SCHOOL, CAFETERIA & GYM",51 N GRANDVIEW AVE,DUBUQUE,52001,I2Gm2gf5,Wll37zhC,0,0,0,0,0,0,0,0
450,Dubuque,Dubuque_20,"BRYANT ELEMENTARY SCHOOL, GYM",1280 RUSH ST,DUBUQUE,52003,wO1i3LjI,eXQWh8SG,0,0,0,0,0,0,0,0
451,Dubuque,Dubuque_31,THE MEADOWS GOLF CLUB,15766 CLOVER LANE,ASBURY,52002,79Jpy0te,2KDj5mdc,0,0,0,0,0,0,0,0
452,Dubuque,Dubuque_32,"CARVER ELEMENTARY SCHOOL, GYM",2007 RADFORD RD,DUBUQUE,52002,YMxfydIT,WxXAmMMv,0,0,0,0,0,0,0,0
453,Dubuque,Dubuque_33,"CASCADE JR/SR HIGH SCHOOL, AUDITORIUM",505 JOHNSON ST NW ,CASCADE,52033,brd6ugSc,cKBfvPYi,0,0,0,0,0,0,0,0
454,Dubuque,Dubuque_34,"NICC PEOSTA CAMPUS, CONFERENCE CENTER 1 & 4",8342 NICC DR,PEOSTA,52068,EG5MWVr0,DN8zShoK,0,0,0,0,0,0,0,0
455,Dubuque,Dubuque_35,DOWNTOWN LOUNGE,1992 MAIN ST,NEW VIENNA,52065,d9yOjvCJ,klPk2Zyv,0,0,0,0,0,0,0,0
456,Dubuque,Dubuque_36,"SAGEVILLE ELEMENTARY SCHOOL, GYM",12015 SHERRILL RD,DUBUQUE,52002,L3x9WWAH,S1H7yH7w,0,0,0,0,0,0,0,0
457,Dubuque,Dubuque_37,"ST. FRANCIS XAVIER CATHOLIC ELEMENTARY SCHOOL, AUDITORIUM A",203 2ND ST SW,DYERSVILLE,52040,eUml99fA,jVlse8lk,0,0,0,0,0,0,0,0
458,Dubuque,Dubuque_38,"ST. FRANCIS XAVIER CATHOLIC ELEMENTARY SCHOOL, AUDITORIUM B",203 2ND ST SW,DYERSVILLE,52040,AbRC2ZZ3,Z2dShnI5,0,0,0,0,0,0,0,0
459,Dubuque,Dubuque_39,WORTHINGTON COMMUNITY CENTER,216 1ST AVE W,WORTHINGTON,52078,fYJgDeO0,T7p4ez26,0,0,0,0,0,0,0,0
460,Dubuque,Dubuque_40,FARLEY MEMORIAL HALL,204 1ST AVE NW,FARLEY,52041,sWW34mNG,0FnFbpWX,0,0,0,0,0,0,0,0
461,Dubuque,Dubuque_41,EPWORTH ELEMENTARY,201 JACOBY DR E,EPWORTH,52045,XYAb3Dkc,NtyhbYDR,0,0,0,0,0,0,0,0
462,Dubuque,Dubuque_42,"BREITBACH'S COUNTRY DINING, BASEMENT DINING ROOM",563 BALLTOWN RD,SHERILL,52073,G6drdRSF,3KVdo6T5,0,0,0,0,0,0,0,0
463,Dubuque,Dubuque_43,"TABLE MOUND ELEMENTARY SCHOOL, MULTI-PURPOSE ROOM & GYM",100 TOWER DR,DUBUQUE,52003,zxl6Cglb,GK7sS6ix,0,0,0,0,0,0,0,0
464,Dubuque,Dubuque_44,BERNARD FIRE STATION,547 ROLUS ST,BERNARD,52032,VrOJsgvb,sjoBrJaH,0,0,0,0,0,0,0,0
465,Dubuque,Dubuque_45,"DUBUQUE COUNTY FAIRGROUNDS, GRAND BALLROOM",14569 OLD HWY RD,DUBUQUE,52002,o1koMWzj,da43ZRlX,0,0,0,0,0,0,0,0
466,Emmet,AG-IL-Armstrong,ARMSTRONG COMMUNITY CENTER C,519 6TH ST,ARMSTRONG IA ,50514,XOXFS1vp,kFyDB55M,0,0,0,0,0,0,0,0
467,Emmet,CN-SL-Gruver,"IOWA LAKE COMMUNITY COLLEGE, ROOM 50",300 S 18TH ST,ESTHERVILLE,51334,q8xwaRMm,ybHe9Agk,0,0,0,0,0,0,0,0
468,Emmet,DM-JC-Ringsted,RINGSTED COMMUNITY CENTER,5 W MAPLE ST,RINGSTED,50578,L2e4l8Ye,Ef4YbcEQ,0,0,0,0,0,0,0,0
469,Emmet,EL-LN-Dolliver,"IOWA LAKE COMMUNITY COLLEGE, ROOM 52",300 S 18TH ST,ESTHERVILLE,51334,N4lQFe1p,G72rq3bH,0,0,0,0,0,0,0,0
470,Emmet,Emmet-Estherville,"IOWA LAKE COMMUNITY COLLEGE, ROOM 24",300 18TH ST,ESTHERVILLE,51334,9d1nfDff,Xhv6vbyd,0,0,0,0,0,0,0,0
471,Emmet,Estherville Ward 1,"IOWA LAKE COMMUNITY COLLEGE, ROOM 16",300 S 18TH ST,ESTHERVILLE,51334,VKp4u2GX,UIFf3fp9,0,0,0,0,0,0,0,0
472,Emmet,Estherville Ward 2,"IOWA LAKE COMMUNITY COLLEGE, ROOM 53/55",300 S 18TH ST,ESTHERVILLE,51334,hyFrSiVh,9capUM4T,0,0,0,0,0,0,0,0
473,Emmet,Estherville Ward 3,"IOWA LAKE COMMUNITY COLLEGE, ROOM 25/29",300 S 18TH ST,ESTHERVILLE,51334,ohrjGOPl,7xJMCoAd,0,0,0,0,0,0,0,0
474,Emmet,Estherville Ward 4,"IOWA LAKE COMMUNITY COLLEGE, ROOM 74",300 S 18TH ST,ESTHERVILLE,51334,EUy5l79e,BSBc9tqU,0,0,0,0,0,0,0,0
475,Emmet,Estherville Ward 5,"IOWA LAKE COMMUNITY COLLEGE, ROOM 14",300 S 18TH ST,ESTHERVILLE,51334,DZCRl2wg,jvJt7ep6,0,0,0,0,0,0,0,0
476,Emmet,HL-TM-Wallingford,"IOWA LAKES COMMUNITY COLLEGE, ROOM 22",300 S 18TH ST,ESTHERVILLE,51334,IrdDblXU,BP6JL1iq,0,0,0,0,0,0,0,0
477,Fayette,AUBURN TWP,ST. LUCAS COMMUNITY CENTER,101 W MAIN ST,ST. LUCAS,52166,Ho5WI70B,pUhp2sEW,0,0,0,0,0,0,0,0
478,Fayette,BANKS-FREMONT TWP,"WEST CENTRAL HIGH SCHOOL, CAFETERIA A",305 PEMBER ST,MAYNARD,50655,93SNmS97,xBKR94bs,0,0,0,0,0,0,0,0
479,Fayette,BETHEL-WINDSOR TWP,HAWKEYE FIRE STATION,113 E MAIN HAWKEYE,HAWKEYE,52147,x9DwHwZy,ntmkHnnc,0,0,0,0,0,0,0,0
480,Fayette,CENTER TWP,UPPER IOWA UNIVERSITY STUDENT CENTER BALLROOM,605 WASHINGTON ST,FAYETTE,52142,HMCY0XBl,a561AnqE,0,0,0,0,0,0,0,0
481,Fayette,CLERMONT TWP,NORTH FAYETTE VALLEY MIDDLE SCHOOL A,23493 CANOE RD,ELGIN,52141,1z958IeH,Wyqfo4Ei,0,0,0,0,0,0,0,0
482,Fayette,DOVER TWP,WEST UNION COMMUNITY LIBRARY A,210 N VINE ST,WEST UNION,52175,FsYwJ2c2,aS9B3uUB,0,0,0,0,0,0,0,0
483,Fayette,EDEN TWP,WAUCOMA LIBRARY,103 1ST AVE SW,WAUCOMA,52171,DITFxPTJ,rSYBSVym,0,0,0,0,0,0,0,0
484,Fayette,FAIRBANK INC,FAIRBANK CITY CLERK,116 MAIN ST E,FAIRBANK ,50629,msGa2hz3,4BcvsNWm,0,0,0,0,0,0,0,0
485,Fayette,FAIRFIELD-PUTNAM TWP,"STARMONT COMMUNITY SCHOOL DISTRICT, K-12 MEDIA CENTER",3202 40TH ST,ARLINGTON,50606,DYvEmpOV,RXTzyIWE,0,0,0,0,0,0,0,0
486,Fayette,HARLAN TWP,"WEST CENTRAL HIGH SCHOOL, CAFETERIA B",305 PEMBER ST,MAYNARD,50655,Jp7sE0LA,w9ugcgQK,0,0,0,0,0,0,0,0
487,Fayette,ILLYRIA TWP,WADENA PUBLIC LIBRARY ,136 MILL ST ,WADENA,52169,cNCsNGyG,fUrskKsZ,0,0,0,0,0,0,0,0
488,Fayette,JEFFERSON TWP,WINGS PARK ELEMENTARY  A,111 8TH AVE NE,OELWEIN,50662,BEBQ9xJt,o5L0hcbs,0,0,0,0,0,0,0,0
489,Fayette,OELWEIN - WARD 1,OELWEIN MIDDLE SCHOOL A,300 12TH AVE SE,OELWEIN,50662,8A9qhY23,6VwLBcCu,0,0,0,0,0,0,0,0
490,Fayette,OELWEIN - WARD 2,OELWEIN MIDDLE SCHOOL B,300 12TH AVE SE,OELWEIN,50662,yonotMr1,Y5N9zo4Q,0,0,0,0,0,0,0,0
491,Fayette,OELWEIN - WARD 3,OELWEIN MIDDLE SCHOOL C,300 12TH AVE SE,OELWEIN,50662,yNNCK51E,u3miHeHQ,0,0,0,0,0,0,0,0
492,Fayette,OELWEIN - WARD 4,OELWEIN MIDDLE SCHOOL D,300 12TH AVE SE,OELWEIN,50662,M5PZFEj5,M6yUkTDi,0,0,0,0,0,0,0,0
493,Fayette,ORAN TWP,WINGS PARK ELEMENTARY B,111 8TH AVE NE,OELWEIN,50662,l3sNrrkx,HOdqBdNh,0,0,0,0,0,0,0,0
494,Fayette,PLEASANT VALLEY TWP,NORTH FAYETTE VALLEY MIDDLE SCHOOL B,23493 CANOE RD,ELGIN,52141,yBIys4zW,BX5w8YdI,0,0,0,0,0,0,0,0
495,Fayette,SCOTT TWP,WINGS PARK ELEMENTARY  C,111 8TH AVE NE,OELWEIN,50662,Md6v9p8e,MHmek2ZW,0,0,0,0,0,0,0,0
496,Fayette,SMITHFIELD TWP,"WEST CENTRAL HIGH SCHOOL, CAFETERIA",305 PEMBER ST,MAYNARD,50655,YfOmHUCR,4y9kdd7L,0,0,0,0,0,0,0,0
497,Fayette,UNION TWP,WEST UNION COMMUNITY LIBRARY B ,210 N VINE ST,WEST UNION,52175,1jTHYr3L,dqPOAKmB,0,0,0,0,0,0,0,0
498,Fayette,WEST UNION - WARD 1,WEST UNION FIRE MEETING ROOM,212 S VINE ST,WEST UNION,52175,9kgxQD9E,51LvSGOw,0,0,0,0,0,0,0,0
499,Fayette,WEST UNION - WARD 2,"FAYETTE COUNTY COURT HOUSE, ASSEMBLY ROOM",114 N VINE ST,WEST UNION,52175,9HXBSyWJ,3wvWABOk,0,0,0,0,0,0,0,0
500,Fayette,WEST UNION - WARD 3,KERNPT BROTHERS BANK - WEST UNION,205 N VINE ST,WEST UNION,52175,DVvoDCLi,u1vDtUEV,0,0,0,0,0,0,0,0
501,Fayette,WESTFIELD TWP,UPPER IOWA UNIVERSITY  STUDENT CENTER BALLROOM,605 WASHINGTON ST,FAYETTE,52142,omNqLZrv,i7L5gNhU,0,0,0,0,0,0,0,0
502,Floyd,Charles City Corp/CC1,"CHARLES CITY HIGH SCHOOL, GYM",1 COMET DR,CHARLES CITY,50616,XB0IXBhG,FGyvKWZc,0,0,0,0,0,0,0,0
503,Floyd,Charles City Corp/CC2,"CHARLES CITY HIGH SCHOOL, COMMON ROOM",1 COMET DR,CHARLES CITY,50616,TH2HVtBL,sInCHML4,0,0,0,0,0,0,0,0
504,Floyd,Charles City Corp/CC3,"CHARLES CITY HIGH SCHOOL, LIBRARY",1 COMET DR,CHARLES CITY,50616,VhBf9GmH,FSc7RQD9,0,0,0,0,0,0,0,0
505,Floyd,Floyd-Cedar-Niles,FLOYD COMMUNITY CENTER ,706 FAIRFIELD ST,FLOYD,50435,pq0WTq9v,MwwhvZVV,0,0,0,0,0,0,0,0
506,Floyd,Rock Grove-Rudd,CENTRAL SPRINGS MIDDLE SCHOOL,509 IOWA AVE,NORA SPRINGS,50458,YG0CNlWL,4gRqfFGZ,0,0,0,0,0,0,0,0
507,Floyd,Rockford-Ulster,RUDD-ROCKFORD-MARBLE ROCK HIGH SCHOOL,1460 210TH ST,ROCKFORD,50468,0tZr67QD,adVCoFjF,0,0,0,0,0,0,0,0
508,Floyd,Scott-Union-Pleasant Grove,MARBLE ROCK COMMUNITY CENTER,520 COLLEGE ST,MARBLE ROCK,50653,jSRqECN5,RZlOcgNu,0,0,0,0,0,0,0,0
509,Floyd,St Charles-Riverton,"CHARLES CITY HIGH SCHOOL, CHORUS ROOM",1 COMET DR,CHARLES CITY,50616,IVZocdW1,wohSkw85,0,0,0,0,0,0,0,0
510,Franklin,GENEVA/ INGHAM/ EAST MOTT,HAMPTON-DUMONT MIDDLE SCHOOL A,601 12TH AVE NE,HAMPTON,50441,rVsQLpja,JCEGsMmb,0,0,0,0,0,0,0,0
511,Franklin,GRANT/ OSCEOLA,HAMPTON-DUMONT MIDDLE SCHOOL B,601 12TH AVE NE,HAMPTON,50441,q93336sk,dZMLfiZg,0,0,0,0,0,0,0,0
512,Franklin,HAMILTON/ LEE/ REEVE,"CAL SCHOOL, AUDITORIUM & MUSIC ROOM A",1441 GULL AVE,LATIMER,50452,XpbraFV5,bkkb7CMk,0,0,0,0,0,0,0,0
513,Franklin,HAMPTON 1,HAMPTON-DUMONT MIDDLE SCHOOL C,601 12TH AVE NE,HAMPTON,50441,4rD9BTUA,cc5eXNY5,0,0,0,0,0,0,0,0
514,Franklin,HAMPTON 2,HAMPTON-DUMONT MIDDLE SCHOOL D,601 12TH AVE NE,HAMPTON,50441,3BPcy7uZ,3ED2iWZt,0,0,0,0,0,0,0,0
515,Franklin,HAMPTON 3,HAMPTON-DUMONT MIDDLE SCHOOL E,601 12TH AVE NE,HAMPTON,50441,z88B1kIh,twv8GJf2,0,0,0,0,0,0,0,0
516,Franklin,HAMPTON 4,HAMPTON-DUMONT MIDDLE SCHOOL F,601 12TH AVE NE,HAMPTON,50441,rv4OWVYT,QEYPzx2x,0,0,0,0,0,0,0,0
517,Franklin,MARION,"CAL SCHOOL, AUDITORIUM & MUSIC ROOM B",1441 GULL AVE,LATIMER,50452,VhNtQMVP,Nxfas7I7,0,0,0,0,0,0,0,0
518,Franklin,OAKLAND/ MORGAN,"CAL SCHOOL, AUDITORIUM & MUSIC ROOM C",1441 GULL AVE,LATIMER,50452,Q8gwrf69,EbMnwHNj,0,0,0,0,0,0,0,0
519,Franklin,RICHLAND/ ROSS/ WEST FORK,SHEFFIELD-CHAPIN ELEMENTARY SCHOOL,504 PARK ST,SHEFFIELD,50475,edajpZVG,wkqueps3,0,0,0,0,0,0,0,0
520,Franklin,WEST MOTT TOWNSHIP,HAMPTON-DUMONT MIDDLE SCHOOL G,601 12TH AVE NE,HAMPTON,50441,1NzHbdkx,G7GzIAXg,0,0,0,0,0,0,0,0
521,Franklin,WISNER/ SCOTT,"CAL SCHOOL, AUDITORIUM & MUSIC ROOM D",1441 GULL AVE,LATIMER,50452,BEBNAJvF,NcjVoD0c,0,0,0,0,0,0,0,0
522,Fremont,Farragut,WATERFALLS WEDDING VENUE A,907 HARTFORD AVE,FARRAGUT,51639,kJGmT0zA,ZbPEGkpp,0,0,0,0,0,0,0,0
523,Fremont,Green Riverside Scott,FREMONT-MILLS COMMUNITY SCHOOL - MULTIPLE PURPOSE ROOM,1114 US-275,TABOR,51653,GQRD4ktp,T62y1U3p,0,0,0,0,0,0,0,0
524,Fremont,Hamburg/Washington,SIDNEY ELEMENTARY SCHOOL - LIBRARY COMMONS,1004 ILLINOIS ST,SIDNEY,51652,8nDMm7HH,h4Wv8y44,0,0,0,0,0,0,0,0
525,Fremont,Riverton,WATERFALLS WEDDING VENUE B,907 HARTFORD AVE,FARRAGUT,51652,hOC1o4pP,IgzLbX4h,0,0,0,0,0,0,0,0
526,Fremont,Sidney,SIDNEY ELEMENTARY SCHOOL - CAFETERIA,1004 ILLINOIS ST,SIDNEY,51652,v1OZzu6H,pTXWUIjF,0,0,0,0,0,0,0,0
527,Greene,Central Precinct,JEFFERSON CITY HALL,220 N CHESTNUT ST,JEFFERSON,50129,kRpXB3bR,73VKgYa0,0,0,0,0,0,0,0,0
528,Greene,East Precinct,GRAND JUNCTION COMMUNITY CENTER,212 MAIN ST E,GRAND JUNCTION,50107,ArBpIfoF,21UKO2q2,0,0,0,0,0,0,0,0
529,Greene,Jefferson 1 Precinct,"GREENE COUNTY HIGH SCHOOL, LUNCHROOM",101 RAM DR,JEFFERSON,50129,y8zmZnMU,yzQORpYM,0,0,0,0,0,0,0,0
530,Greene,Jefferson 2 Precinct,"GREENE COUNTY HIGH SCHOOL, LIBRARY",101 RAM DR,JEFFERSON,50129,VbwNz2ml,KfwGi05R,0,0,0,0,0,0,0,0
531,Greene,Jefferson 3 Precinct,"GREENE COUNTY HIGH SCHOOL, AUDITORIUM",101 RAM DR,JEFFERSON,50129,HS4uyHrc,nPb6S9nN,0,0,0,0,0,0,0,0
532,Greene,North Precinct,CHURDAN LIBRARY,414 SAND ST,CHURDAN,50050,1LKA90SE,Y7QJZKV5,0,0,0,0,0,0,0,0
533,Greene,West Precinct,COMMUNITY CENTER,900 MADISON ST,SCRANTON,51462,NRr2oFNp,mYAhfed4,0,0,0,0,0,0,0,0
534,Grundy,PRECINCT 1,BEAMAN MEMORIAL HALL,215 MAIN ST,BEAMAN,50609,EIYpuMlW,EuWjN2zo,0,0,0,0,0,0,0,0
535,Grundy,PRECINCT 2,GRUNDY CENTER HIGH SCHOOL A,1301 12TH ST,GRUNDY CENTER,50638,tnsam1ab,Alls7U3Z,0,0,0,0,0,0,0,0
536,Grundy,PRECINCT 3,GRUNDY CENTER HIGH SCHOOL B,1301 12TH ST,GRUNDY CENTER,50638,PWQbSUb0,TKQqvGk6,0,0,0,0,0,0,0,0
537,Grundy,PRECINCT 4,GRUNDY CENTER HIGH SCHOOL C,1301 12TH ST,GRUNDY CENTER,50638,2AuRHiXo,y5v73IJw,0,0,0,0,0,0,0,0
538,Grundy,PRECINCT 5,FOX RIDGE GOLF COURSE,355 COUNTRY CLUB LANE,DIKE,50624,NmjqexTK,wPojWR60,0,0,0,0,0,0,0,0
539,Grundy,PRECINCT 6,"GLADBOOK-REINBECK ELEMENTARY, CAFETERIA",300 CEDAR ST,REINBECK,50669,eLnHkw72,fm6co5kA,0,0,0,0,0,0,0,0
540,Grundy,PRECINCT 7,GRUNDY CENTER HIGH SCHOOL D,1301 12TH ST,GRUNDY CENTER,50638,rrykfozZ,4PgWd6Vg,0,0,0,0,0,0,0,0
541,Guthrie,Black,ADAIR CASEY/GUTHRIE CENTER MIDDLE SCHOOL - LIBRARY ,3384 INDIGO AVE,ADAIR,50002,5zEODLFK,q8uP2Xwd,0,0,0,0,0,0,0,0
542,Guthrie,Blue,PANORAMA HIGH SCHOOL -AUDITORIUM,701 W MAIN ST,PANORA,50216,L9FkJhGA,7B6I6fsO,0,0,0,0,0,0,0,0
543,Guthrie,Brown,PANORAMA HIGH SCHOOL- CAFETERIA,701 W MAIN ST,PANORA,50216,SXcd01RE,MwArMzPa,0,0,0,0,0,0,0,0
544,Guthrie,Gold,ADAIR CASEY/GUTHRIE CENTER HIGH SCHOOL- AUDITORIUM A,900 SCHOOL ST,GUTHRIE CENTER,50115,EzopPIpU,IwXinGzg,0,0,0,0,0,0,0,0
545,Guthrie,Green,YALE COMMUNITY CENTER,200 MAIN ST,YALE,50277,e5FRU6fs,H1BeEuDi,0,0,0,0,0,0,0,0
546,Guthrie,Purple,WEST CENTRAL HIGH SCHOOL- COMMONS,3299 WHITE POLE RD,STUART,50250,2uP90uYB,zcswZEsA,0,0,0,0,0,0,0,0
